# This line should be ignored by the parser
N6
# The next 6 lines define categories
C1 Terms and Terminology
C2 The usual suspects
C3 Be creative
C4 Doctor of what?
C5 4 years? Uh, no.
C6 Course change
# These lines have the format: category number | dollar amount | answer | question | additional information (optional)
#
# First category: some terms they might not be familar with
1|100|This is the type of degree you earn from completing a typical four year major at a college or university.  It also refers to a single man.|What is a bachelor's degree?
1|200|This is a degree which can be earned in two years from a college.|What is an associate's degree?
1|300|This term for a college or university program may sound like it is "beneath" you, but it really isn't.|What is undergraduate?
1|400|This refers to a program you might enter after finishing college. Completion of such a program results in either a master's degree or a Ph.D.|What is graduate school?|A master's degree normally takes 2 years to complete, a Ph.D. typically takes 5-6 years.  Unlike other fields (such as the arts), a Ph.D. in a scientific field can be started immediately after finishing an undergraduate program. (In other fields, you need to finish a master's first, but Ph.D.'s are only ~3 years.)
1|500|These two terms, both beginning with "m," describe your primary and secondary field of study at a college.|What are major and minor?|At college, your major is the area you'll get a bachelor's degree in, a minor is like an extra certification added on to your degree.
#
# A good resource for jobs: http://resources.alljobopenings.com/
# 
# Second category: the usual sort of jobs you hear about all the time.
2|100|This person works in a chemistry lab helping to make or analyze new products.|Who is a lab or bench chemist?|A bench chemist can have either a bachelor's or masters degree and makes $55K/yr or more.
2|200|It's time to give back: if you choose this job, you'll have a chance to pass along knowledge of science to the next generation.|What is a science teacher?|To be a science teacher, you need either a bachelor's degree in science education or a science degree plus teaching certification.  You'll also need to be willing to teach different types of science. $26-55K/yr.
2|300|Like food? This type of tasty scientist needs a biology or chemistry degree.|What is a food scientist?|Food scientists ensure food is safe an healthy, and work with companies and the government. $58K/yr with bachelor's degree.
# Source: http://resources.alljobopenings.com/biology-majors
2|400|This kind of scientist works with private individuals and public agencies to "conserve" the environment.|What is a conservation scientist?|A conservation scientist gets to work outside and in national parks more than most other scientists. They can help find ways to allow development without harming the land, or to protect natural areas from being lost. A four year program in forestry (biology and ecology) is needed. $57K/yr.
2|500|This high flying (and high paying!) job is open to a physics major willing to reach for the moon…|What is an aerospace engineer?|There are a number of paths to being an aerospace engineer, and at $97K/yr with a bachelor's degree, it's well worth the time.
#
#
# Third category: Creative job alternatives you can get with a science degree.
3|100|What makes oranges smell like oranges? These scientists work to make sure artifical scents smell right.|Who are odor testers?|Job requirements: good nose, bachelor's in chemistry, and a strong stomach. Salary starts around $35K, but you'll get a weird, but unique job.
3|200|Want to work where dinosaurs still roam? Then consider applying to be this kind of educator, where you'll meet all ages.|What is a museum educator?|As a museum science educator, you would get to plan and deliver tours and shows to museum visitors.  You will probably need a bachelor's degree for most museums. Average salary: ~$45K.
